region,total_hdb,non_hdb
BEDOK,175620,101370
BUKIT TIMAH,7030,70830
BUKIT BATOK,124750,33280
BUKIT MERAH,135050,16200
CENTRAL WATER CATCHMENT,0,0
DOWNTOWN CORE,610,2580
CHANGI,360,1490
CHANGI BAY,0,0
LIM CHU KANG,0,110
BOON LAY,0,40
WESTERN WATER CATCHMENT,0,640
WOODLANDS,235970,19160
MARINE PARADE,19470,26750
NEWTON,0,8260
NORTH-EASTERN ISLANDS,0,50
ORCHARD,0,920
PASIR RIS,102620,44490
PIONEER,0,80
PUNGGOL,151570,22880
QUEENSTOWN,79040,16890
SEMBAWANG,87080,15560
SIMPANG,0,0
TAMPINES,226370,33530
TANGLIN,470,21340
TUAS,0,70
WESTERN ISLANDS,0,10
SOUTHERN ISLANDS,0,1940
BUKIT PANJANG,115840,22430
BISHAN,59350,27970
ANG MO KIO,131020,31260
GEYLANG,82130,27980
STRAITS VIEW,0,0
JURONG EAST,70940,7660
HOUGANG,171090,56470
JURONG WEST,240300,22430
CHOA CHU KANG,165710,26360
KALLANG,79180,22110
MANDAI,0,2090
TENGAH,0,10
MARINA EAST,0,0
MARINA SOUTH,0,0
MUSEUM,0,510
NOVENA,21780,27550
OUTRAM,17020,1320
PAYA LEBAR,0,40
RIVER VALLEY,0,10070
ROCHOR,9960,3160
SELETAR,0,300
SENGKANG,215280,34090
SERANGOON,63890,53010
CLEMENTI,67410,24580
TOA PAYOH,100230,21620
SINGAPORE RIVER,0,3260
SUNGEI KADUT,0,750
YISHUN,195300,26310
